ISBN / ASIN (Amazon ID),Link,Acquired Date,RelationshipSubtype,RelationshipType,Format,Title,Pages,Listening Length,Genres,Subgenres,Series Position,Series,(First) Author,All Authors
B000XU4TKO,https://www.amazon.com/dp/B000XU4TKO,22-Jun-13,Purchase,item_owner,Kindle eBook,The Questions of Jesus: Challenging Ourselves to Discover Life's Great Answers,338,,Christian Books & Bibles,Catholicism | Christian Living,,,"Dear, John",John Dear
B00E72LEPW,https://www.amazon.com/dp/B00E72LEPW,7-May-14,Purchase,item_owner,Kindle eBook,Ender's Game and Philosophy: The Logic Gate is Down (The Blackwell Philosophy and Pop Culture Series Book 87),243,,Science Fiction & Fantasy | Politics & Social Sciences,Philosophy | Science Fiction,,,"Decker, Kevin S.",Kevin S. Decker
B007BOBIRC,https://www.amazon.com/dp/B007BOBIRC,12-Jul-12,Purchase,item_owner,Kindle eBook,"College: What it Was, Is, and Should Be (The William G. Bowen Series Book 63)",246,,Education & Teaching,Schools & Teaching,,,"Delbanco, Andrew",Andrew Delbanco
B007GBTB0Q,https://www.amazon.com/dp/B007GBTB0Q,3-Jul-17,Sharing,item_owner,Kindle eBook,The Book Case (Kindle Single) (John Corey),67,,"Mystery, Thriller & Suspense",Mystery,,John Corey,"DeMille, Nelson",Nelson DeMille
B00LDZ7824,https://www.amazon.com/dp/B00LDZ7824,9-Jan-20,KindleUnlimited,item_owner,Kindle eBook,Learn JavaScript VISUALLY with Interactive Exercises: The Beautiful New Way to Learn a Programming Language (Learn Visually),164,,Computers & Technology,Web Development & Design,,Learn Visually,"Demirov, Ivelin",Ivelin Demirov
B07416NFHL,https://www.amazon.com/dp/B07416NFHL,1-Feb-18,Sharing,item_owner,Kindle eBook,"White Rose, Black Forest",273,,"Literature & Fiction | Mystery, Thriller & Suspense",Genre Fiction | Thrillers & Suspense,,,"Dempsey, Eoin",Eoin Dempsey
B00KMQDUI6,https://www.amazon.com/dp/B00KMQDUI6,19-Jan-17,Sharing,item_owner,Kindle eBook,The Patriot Joe Morton: A Novel,227,,Literature & Fiction,Genre Fiction,,,"DeVault, Michael",Michael DeVault
B005MZN2B2,https://www.amazon.com/dp/B005MZN2B2,27-Apr-16,KindleUnlimited,item_owner,Kindle eBook,The Man in the High Castle,290,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction | Fantasy,,,"Dick, Philip K.",Philip K. Dick
B004EHZXVQ,https://www.amazon.com/dp/B004EHZXVQ,18-Feb-12,Sharing,item_owner,Kindle eBook,A Tale of Two Cities,290,,Literature & Fiction,Genre Fiction,,,"Dickens, Charles",Charles Dickens
B004GHNIQQ,https://www.amazon.com/dp/B004GHNIQQ,18-Feb-12,Sharing,item_owner,Kindle eBook,David Copperfield,770,,Literature & Fiction,,,,"Dickens, Charles",Charles Dickens
